timestamp,left_x,left_y,right_x,right_y,gaze_x,gaze_y,blink
2025-05-09 02:08:38.197790,331.0,284.0,396.0,294.0,364.0,288.0,0
2025-05-09 02:08:38.219449,331.0,285.0,395.0,294.0,363.0,288.0,0
2025-05-09 02:08:38.271303,328.0,285.0,404.0,297.0,363.0,289.0,0
2025-05-09 02:08:38.303224,328.0,285.0,404.0,296.0,364.0,289.0,0
2025-05-09 02:08:38.345467,328.0,285.0,404.0,298.0,364.0,290.0,0
2025-05-09 02:08:38.375582,328.0,285.0,404.0,298.0,365.0,290.0,0
2025-05-09 02:08:38.400392,328.0,285.0,404.0,297.0,366.0,290.0,0
2025-05-09 02:08:38.426450,328.0,285.0,404.0,297.0,366.0,290.0,0
2025-05-09 02:08:38.459592,328.0,284.0,404.0,296.0,366.0,290.0,0
2025-05-09 02:08:38.511750,330.0,284.0,405.0,296.0,366.0,290.0,0
2025-05-09 02:08:38.536724,330.0,284.0,405.0,296.0,366.0,290.0,0
2025-05-09 02:08:38.574193,330.0,283.0,408.0,294.0,367.0,289.0,0
2025-05-09 02:08:38.612907,330.0,283.0,408.0,294.0,367.0,289.0,0
2025-05-09 02:08:38.642453,330.0,283.0,408.0,293.0,368.0,288.0,0
2025-05-09 02:08:38.669748,330.0,283.0,408.0,294.0,368.0,288.0,0
2025-05-09 02:08:38.701201,329.0,282.0,405.0,294.0,368.0,288.0,0
2025-05-09 02:08:38.757412,329.0,281.0,405.0,294.0,368.0,287.0,0
2025-05-09 02:08:38.797764,330.0,282.0,405.0,294.0,367.0,287.0,0
2025-05-09 02:08:38.826668,329.0,280.0,405.0,293.0,367.0,287.0,0
2025-05-09 02:08:38.863167,329.0,280.0,404.0,293.0,366.0,287.0,0
2025-05-09 02:08:38.891775,326.0,279.0,405.0,291.0,366.0,286.0,0
2025-05-09 02:08:38.924755,330.0,277.0,405.0,291.0,366.0,285.0,0
2025-05-09 02:08:38.961000,330.0,275.0,405.0,289.0,366.0,284.0,0
2025-05-09 02:08:38.997605,329.0,275.0,405.0,289.0,366.0,283.0,0
2025-05-09 02:08:39.032685,325.0,274.0,404.0,288.0,366.0,282.0,0
2025-05-09 02:08:39.068668,323.0,273.0,403.0,287.0,365.0,281.0,0
2025-05-09 02:08:39.102034,323.0,272.0,403.0,287.0,364.0,280.0,0
2025-05-09 02:08:39.135742,324.0,271.0,403.0,285.0,364.0,280.0,0
2025-05-09 02:08:39.172167,324.0,271.0,403.0,285.0,363.0,279.0,0
2025-05-09 02:08:39.188920,332.0,270.0,401.0,284.0,363.0,278.0,0
2025-05-09 02:08:39.217794,332.0,270.0,401.0,284.0,364.0,277.0,0
2025-05-09 02:08:39.249010,322.0,270.0,398.0,284.0,363.0,277.0,0
2025-05-09 02:08:39.284534,322.0,270.0,398.0,283.0,363.0,277.0,0
2025-05-09 02:08:39.318249,319.0,266.0,396.0,281.0,361.0,276.0,0
2025-05-09 02:08:39.358341,316.0,264.0,389.0,276.0,359.0,274.0,0
2025-05-09 02:08:39.394260,316.0,264.0,389.0,274.0,356.0,273.0,0
2025-05-09 02:08:39.412396,310.0,260.0,384.0,271.0,353.0,270.0,0
2025-05-09 02:08:39.448261,308.0,261.0,383.0,271.0,350.0,268.0,0
2025-05-09 02:08:39.477440,306.0,259.0,380.0,266.0,347.0,266.0,0
2025-05-09 02:08:39.494412,306.0,259.0,380.0,266.0,346.0,264.0,0
2025-05-09 02:08:39.525650,,,372.0,264.0,,,1
2025-05-09 02:08:39.586114,303.0,258.0,366.0,259.0,342.0,262.0,0
2025-05-09 02:08:39.622864,,,366.0,258.0,,,1
2025-05-09 02:08:39.655238,,,357.0,255.0,,,1
2025-05-09 02:08:39.685246,,,357.0,255.0,,,1
2025-05-09 02:08:39.711329,,,354.0,251.0,,,1
2025-05-09 02:08:39.733490,271.0,250.0,355.0,250.0,335.0,259.0,0
2025-05-09 02:08:39.759944,274.0,250.0,349.0,247.0,328.0,256.0,0
2025-05-09 02:08:39.794629,273.0,249.0,350.0,247.0,322.0,253.0,0
2025-05-09 02:08:39.824442,278.0,248.0,345.0,246.0,316.0,250.0,0
2025-05-09 02:08:39.869178,278.0,248.0,341.0,245.0,311.0,247.0,0
2025-05-09 02:08:39.900713,278.0,249.0,341.0,246.0,310.0,247.0,0
2025-05-09 02:08:39.931169,,,344.0,245.0,,,1
2025-05-09 02:08:39.964370,,,344.0,245.0,,,1
2025-05-09 02:08:40.000419,281.0,247.0,343.0,244.0,310.0,246.0,0
2025-05-09 02:08:40.026701,280.0,249.0,343.0,244.0,310.0,246.0,0
2025-05-09 02:08:40.044305,,,348.0,247.0,,,1
2025-05-09 02:08:40.082267,,,348.0,247.0,,,1
2025-05-09 02:08:40.110517,268.0,249.0,346.0,249.0,309.0,246.0,0
2025-05-09 02:08:40.173951,273.0,249.0,353.0,253.0,310.0,247.0,0
2025-05-09 02:08:40.203997,273.0,249.0,354.0,254.0,311.0,248.0,0
2025-05-09 02:08:40.237095,276.0,260.0,365.0,267.0,312.0,252.0,0
2025-05-09 02:08:40.275284,,,366.0,268.0,,,1
2025-05-09 02:08:40.312521,,,,,,,1
2025-05-09 02:08:40.331798,,,,,,,1
2025-05-09 02:08:40.351273,,,,,,,1
2025-05-09 02:08:40.416722,308.0,290.0,370.0,300.0,318.0,261.0,0
2025-05-09 02:08:40.449620,,,,,,,1
2025-05-09 02:08:40.469487,,,,,,,1
2025-05-09 02:08:40.484862,,,,,,,1
2025-05-09 02:08:40.527773,305.0,295.0,364.0,307.0,323.0,272.0,0
2025-05-09 02:08:40.558460,305.0,295.0,364.0,307.0,328.0,282.0,0
2025-05-09 02:08:40.589231,307.0,295.0,362.0,306.0,332.0,292.0,0
2025-05-09 02:08:40.650298,304.0,296.0,357.0,308.0,334.0,299.0,0
2025-05-09 02:08:40.689977,304.0,298.0,357.0,308.0,332.0,301.0,0
2025-05-09 02:08:40.717571,,,,,,,1
2025-05-09 02:08:40.735930,,,,,,,1
2025-05-09 02:08:40.762829,,,,,,,1
2025-05-09 02:08:40.783887,,,,,,,1
2025-05-09 02:08:40.832883,,,,,,,1
2025-05-09 02:08:40.850368,,,,,,,1
2025-05-09 02:08:40.876258,,,,,,,1
2025-05-09 02:08:40.889240,,,,,,,1
2025-05-09 02:08:40.944673,,,,,,,1
2025-05-09 02:08:41.009319,,,,,,,1
2025-05-09 02:08:41.030673,,,,,,,1
2025-05-09 02:08:41.070810,,,,,,,1
2025-05-09 02:08:41.086456,,,,,,,1
2025-05-09 02:08:41.116188,,,,,,,1
2025-05-09 02:08:41.134677,,,,,,,1
2025-05-09 02:08:41.183308,,,,,,,1
2025-05-09 02:08:41.244416,,,,,,,1
2025-05-09 02:08:41.264299,,,,,,,1
2025-05-09 02:08:41.293522,,,,,,,1
2025-05-09 02:08:41.315435,,,,,,,1
2025-05-09 02:08:41.364521,,,,,,,1
2025-05-09 02:08:41.385224,,,,,,,1
2025-05-09 02:08:41.423189,,,,,,,1
2025-05-09 02:08:41.489957,,,,,,,1
2025-05-09 02:08:41.504348,,,,,,,1
2025-05-09 02:08:41.534514,,,,,,,1
2025-05-09 02:08:41.557043,,,,,,,1
2025-05-09 02:08:41.600722,,,,,,,1
2025-05-09 02:08:41.624012,,,,,,,1
2025-05-09 02:08:41.665826,,,,,,,1
2025-05-09 02:08:41.693161,,,,,,,1
2025-05-09 02:08:41.712950,,,,,,,1
2025-05-09 02:08:41.734714,,,,,,,1
2025-05-09 02:08:41.775192,,,,,,,1
2025-05-09 02:08:41.840215,,,,,,,1
2025-05-09 02:08:41.864152,,,,,,,1
2025-05-09 02:08:41.900934,,,,,,,1
2025-05-09 02:08:41.924921,,,,,,,1
2025-05-09 02:08:41.951370,,,,,,,1
2025-05-09 02:08:41.976152,,,,,,,1
2025-05-09 02:08:42.017674,,,,,,,1
2025-05-09 02:08:42.077080,,,,,,,1
2025-05-09 02:08:42.095686,,,,,,,1
2025-05-09 02:08:42.126167,,,,,,,1
2025-05-09 02:08:42.148359,,,,,,,1
2025-05-09 02:08:42.191316,,,,,,,1
2025-05-09 02:08:42.256392,,,,,,,1
2025-05-09 02:08:42.270165,,,,,,,1
2025-05-09 02:08:42.322348,,,,,,,1
2025-05-09 02:08:42.342432,,,,,,,1
2025-05-09 02:08:42.384778,,,,,,,1
2025-05-09 02:08:42.409532,,,,,,,1
2025-05-09 02:08:42.429241,,,,,,,1
2025-05-09 02:08:42.452621,,,,,,,1
2025-05-09 02:08:42.496037,,,,,,,1
2025-05-09 02:08:42.520030,,,,,,,1
2025-05-09 02:08:42.543765,,,,,,,1
